#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
67,Right In,Skrillex,12/27/2011,140,80,64,-2,34,3:00,1,53,2671
68,Bangarang (feat. Sirah),Skrillex,12/27/2011,110,97,72,-2,58,3:35,1,70,7596
69,Breakn' a Sweat,Skrillex,12/27/2011,140,92,60,-2,23,5:02,0,56,3057
70,The Devil's Den,Skrillex,12/27/2011,128,95,62,-3,32,4:53,0,53,7709
71,Right on Time,Skrillex,12/27/2011,140,93,63,-5,51,4:05,1,47,5935
72,Kyoto (feat. Sirah),Skrillex,12/27/2011,175,92,61,-2,22,3:21,0,60,9510
73,Summit (feat. Ellie Goulding),Skrillex,12/27/2011,140,77,69,-4,49,6:14,23,58,274
74,Skrillex Orchestral Suite by Varien,Skrillex,12/27/2011,101,48,18,-7,7,6:55,65,39,1387
75,Tyler Got Him A Tesla - Skit,Florida Georgia Line,2/15/2019,135,46,79,-12,70,0:42,96,44,59
76,Can’t Say I Ain’t Country,Florida Georgia Line,2/15/2019,150,87,47,-2,74,2:56,1,59,785
77,Simple,Florida Georgia Line,2/15/2019,200,88,36,-4,86,3:05,8,77,6073
78,Talk You Out Of It,Florida Georgia Line,2/15/2019,120,71,65,-5,56,3:23,58,78,5577
79,All Gas No Brakes - Skit,Florida Georgia Line,2/15/2019,133,55,74,-11,62,0:46,97,45,4585
80,Speed Of Love,Florida Georgia Line,2/15/2019,200,87,33,-3,74,2:33,4,55,6567
81,Women,Florida Georgia Line,2/15/2019,118,59,37,-4,45,3:32,43,55,2396
82,People Are Different,Florida Georgia Line,2/15/2019,140,84,51,-5,62,3:34,17,58,4301
83,Told You,Florida Georgia Line,2/15/2019,180,72,41,-5,55,3:58,52,55,1731
84,Sack’a Puppies - Skit,Florida Georgia Line,2/15/2019,105,40,70,-12,91,0:40,97,43,1573
85,Y’all Boys,Florida Georgia Line,2/15/2019,115,86,63,-4,75,2:32,43,58,4479
86,Small Town,Florida Georgia Line,2/15/2019,126,90,64,-3,57,3:17,10,55,6284
87,Sittin’ Pretty,Florida Georgia Line,2/15/2019,148,94,59,-3,81,3:06,34,58,7949
88,Catfish Nuggets - Skit,Florida Georgia Line,2/15/2019,89,46,66,-11,83,0:50,97,43,4895
89,Can’t Hide Red,Florida Georgia Line,2/15/2019,95,86,51,-3,47,3:02,3,69,4405
90,Colorado,Florida Georgia Line,2/15/2019,75,84,51,-3,78,2:58,15,61,5358
91,Like You Never Had It,Florida Georgia Line,2/15/2019,77,87,41,-3,43,2:59,3,57,838
92,Swerve,Florida Georgia Line,2/15/2019,140,87,67,-5,91,3:21,21,58,8655
93,Blessings,Florida Georgia Line,2/15/2019,89,67,47,-6,33,3:19,74,56,9517
94,Blue Grass Breakdown,Bill Monroe & His Blue Grass Boys,1945,172,53,39,-15,96,2:39,97,30,9807
95,Heavy Traffic Ahead,Bill Monroe & His Blue Grass Boys,1945,189,28,59,-15,82,2:49,98,28,6159
96,Down The Road - Single Version,Lester Flatt,1/1/2003,108,48,61,-13,96,2:40,86,8,877
97,Foggy Mountain Breakdown - Single Version,Lester Flatt,1/1/2003,160,85,38,-9,95,2:40,16,8,6193
98,Reuben,Flatt & Scruggs,2004,135,66,39,-10,90,1:59,16,27,2520
99,Flint Hill Special,Flatt & Scruggs,2004,158,66,36,-9,98,2:45,25,25,6405
100,Shuckin' the Corn,Flatt & Scruggs,1957,159,84,26,-9,98,2:03,26,29,7894
101,"Twinkle, Twinkle, Little Star",Snuffy Jenkins,1998,142,79,44,-10,78,1:19,47,23,2112
102,Little Maggie,The Stanley Brothers,1/1/2003,131,58,53,-9,74,2:44,30,33,2152
103,Clinch Mountain Backstep,The Stanley Brothers,2005,138,75,48,-8,96,2:18,1,33,5808
104,Green Mountain Hop,Don Reno,2005,139,89,38,-7,97,2:14,35,25,2923
105,Follow The Leader,Don Reno,4/1/2008,140,77,38,-9,97,2:00,15,23,4497
106,Cumberland Gap,Don Reno,2005,162,83,37,-7,97,2:25,1,24,7501
107,Highway Of Sorrow,The Osborne Brothers,5/27/2003,158,39,51,-11,42,3:45,84,0,9727
108,Who Done It,The Osborne Brothers,5/27/2003,126,46,69,-10,71,2:25,74,0,8568
109,Blackjack,J.D. Crowe,4/19/2005,174,74,41,-11,88,2:03,2,24,4746
110,Down Where The River Bends,J.D. Crowe,4/19/2005,136,49,52,-7,54,3:20,63,22,2595
111,Born To Be With You,J.D. Crowe,4/19/2005,157,65,44,-10,62,1:58,19,22,2307
112,Old Home Place,J.D. Crowe & The New South,1/1/1975,123,52,62,-12,91,2:48,73,21,2937
113,Crazy Creek,Bill Keith,1/1/1976,136,63,49,-12,86,2:55,27,20,834
114,Rickett's Hornpipe,Bill Keith,1/1/1976,107,58,48,-16,59,1:21,62,19,7175
